Probes,G101,G102,G103,G104,G105,G108,G109,G110,G111,G112,G113,G114,G115,G116,G117,G118,G119,G120,G123,G124,G125,G126,G128,G130,G132,G133,G134,G135,G136,G137,G138,G139,G140,G142,G143,G144,G145,G301,G302,G303,G304,G305,G306,G307,G308,G309,G310,G311,G312,G313,G314,G315,G316,G317,G318,G319,G320,G322,G323,G324,G325,G327,G328,G332,G334,G335,G336,G337,G338,G340,G341,G342,G345,G347,G350,G352,G354,G355,G356,G357,G358,G359,G360,G361,G362,G363,G365,G366,G367,G368,G372,G373,G374,G375,G376,G379,G380,G381,G382,G383,G384,G385,G386,G387,G388,G389,G390,G391,G392,G393,G394,G395,G396,G397
CX3CL1,-0.382496,0.0,0.0,0.0,-0.697614,0.152684,1.014477,0.427817,0.376024,-0.124623,1.25451,0.774561,0.124623,-0.493714,0.889854,0.0,-0.13725,-0.897898,1.912715,2.289165,1.25451,0.611001,-0.525778,0.0,0.487972,0.698004,-0.334676,0.551253,-0.180253,0.555486,0.0,0.154423,1.077854,0.269709,0.282374,0.233629,0.336919,0.0,0.278141,0.427817,-0.62839,0.410185,-0.289521,-0.156444,0.0,-1.070325,2.289165,0.078638,-0.382496,0.334676,2.524149,0.668225,0.84123,0.108123,-0.127095,-1.738688,-0.095667,0.551253,-0.17689,1.082213,-0.383549,2.121184,0.10329,1.550058,0.203531,-0.40422,0.686351,0.790869,-0.735133,0.133855,-0.505497,0.531602,-0.367484,0.367484,0.282374,0.0,0.382496,0.0,0.522551,0.206076,-0.282374,0.682769,-0.0792,-0.288922,1.637006,0.253009,1.070325,-1.637006,-0.482903,0.464509,0.021807,0.147943,-0.132698,0.087676,0.38432,0.147943,0.269751,-0.082118,0.0,0.087676,0.0,0.196866,0.230384,0.576253,-0.211499,0.0,0.019826,0.206352,0.473571,0.291804,0.116217,-0.823959,0.260692,-0.539993
CSF1,0.653279,0.0,0.0,0.0,0.0,0.0,-0.584963,0.0,0.584963,0.0,1.603294,0.883268,0.0,0.0,0.0,0.0,0.584963,0.0,-1.875348,0.321512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.960794,0.0,0.0,0.0,0.0,0.0,0.745834,0.745834,0.0,0.745834,0.0,0.0,0.584963,-1.283517,0.0,0.0,1.172408,0.0,0.0,-1.875348,0.0,0.0,0.0,2.511912,-1.960794,-0.36787,0.0,0.629689,1.875348,0.0,0.551118,2.906375,0.0,0.0,0.0,-0.713246,0.0,0.0,0.745834,0.0,0.0,0.0,0.0,0.0,-0.438237,0.0,0.0,-0.313861,0.0,0.0,1.875348,0.0,0.0,0.39044,1.363748,0.0,0.0,0.0,0.0,-1.067926,3.281529,-1.950365,1.389625,0.403542,0.0,-1.885411,0.479275,1.279887,0.0,1.198422,-1.365361,0.978467,2.201016,0.0,0.0,-0.219955,3.124523,0.0,0.479275,0.0,0.0,3.94807,0.616209,1.404307,0.0,2.040991,0.0
CXCL10,1.206443,2.213347,0.038678,0.192916,0.066914,0.337965,0.758806,0.456106,1.176681,-0.108242,-0.821403,1.655572,0.504527,-0.564277,1.792546,0.893909,1.125957,-0.264912,0.346121,1.268469,1.203481,1.062243,1.915393,1.051212,0.470482,0.897238,0.213234,0.549739,0.259681,0.462695,-0.264183,0.999603,1.045898,1.158845,0.880739,0.575658,0.999319,-0.481808,0.297232,1.656058,0.384604,1.500231,0.551937,0.915655,1.618991,-0.427511,0.52562,0.266284,0.478411,0.603534,2.03886,1.192902,1.609231,-0.139739,-0.397869,-0.125217,-0.322079,0.767433,-0.757484,1.128122,-0.351067,1.320175,0.652658,1.510446,-0.452617,-0.274432,0.665672,1.0148,-0.083795,0.69463,-0.773565,-0.109182,0.083585,1.251549,1.226482,0.203589,1.253865,1.001877,0.866662,0.620403,0.161431,1.158768,0.193244,0.388551,0.822566,0.185701,0.024685,0.463753,-0.225494,0.990531,0.931073,0.871625,0.784389,0.839025,2.517691,0.452162,1.026793,-0.289569,0.532888,0.930903,0.199701,0.872736,0.36925,0.195132,-0.863665,0.564474,0.622608,0.062368,3.07115,0.079938,0.553657,0.730211,0.589598,0.587593
CXCL11,1.464042,-0.127796,1.362984,0.102233,-1.576674,2.198157,1.965258,0.882319,-1.302811,-1.983972,0.857967,1.115826,-0.243987,0.476603,-0.070962,1.926567,0.033064,-2.992032,0.61051,2.018093,2.952927,0.0,2.919786,-1.316309,1.176827,1.163455,-1.250657,-0.394543,-0.066221,0.749946,0.414681,-0.311382,0.497695,4.11516,0.464878,0.633458,-0.238675,-0.170501,2.631864,0.973757,0.222255,-0.608146,-0.136999,1.577859,0.012566,-2.596418,0.187611,0.979292,1.031558,-1.124703,3.276426,-0.098802,1.590295,0.369797,-1.370643,0.122567,-0.818393,0.166994,-0.995502,0.571482,-0.163698,3.372984,-1.798829,0.452159,0.874572,-0.706943,-0.04658,0.501136,1.389104,-0.74519,0.240987,-2.104078,2.038946,0.292874,2.714177,-1.548714,0.373137,1.27841,0.753271,-0.016149,0.10827,1.933516,0.215752,-0.830587,-0.536821,1.319924,-0.363998,0.473635,-0.218972,0.750532,-0.205626,-0.90005,1.55569,1.501262,0.482391,0.738406,-0.459967,0.047216,2.466834,0.510632,-0.480291,-0.0742,0.195616,0.72555,-0.848421,1.891481,-1.510645,-0.53159,4.461362,-0.430995,1.059474,0.026362,0.375947,0.124071
OSM,-2.489334,1.898997,-0.339649,0.0,0.0,0.824762,0.500286,0.0,0.760167,-0.259881,0.0,1.066502,0.0,0.0,0.760167,0.417983,0.760167,-0.259881,0.339649,0.23604,0.0,0.500286,0.760167,0.760167,0.274121,0.73281,0.0,1.396392,0.38946,0.274121,0.0,0.38946,0.486927,0.984882,0.657968,0.461344,0.461344,0.0,0.760167,0.824762,-0.259881,0.259881,0.0,0.496949,0.566498,0.0,0.575689,0.212806,0.0,0.73281,1.609198,0.486927,2.489334,0.38946,0.947843,-2.149685,-0.450894,0.663581,-0.450894,0.38946,-1.269226,2.149685,0.0,0.486927,0.947843,0.657968,0.0,1.013366,-0.450894,0.0,-1.013366,0.0,-0.613437,0.355398,0.355398,0.0,2.149685,-0.23604,0.355398,0.355398,-0.613437,0.984882,0.0,0.0,0.0,0.235245,0.0,2.149685,-0.737971,1.090865,1.139917,0.47907,0.314558,0.314558,1.689721,0.47907,1.028874,-0.895038,1.139917,1.177723,0.73281,0.793629,0.314558,1.348582,0.0,0.660847,0.486927,0.0,1.776676,-0.450894,0.496949,0.496949,0.0,0.496949
MCP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.201118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.845356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.700896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.473076,0.0,0.0,1.473076,0.0,0.0,0.0,1.700896,0.0,0.0,0.0,0.0,0.0,-2.345716,0.0,0.0,1.473076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.760637,0.0,0.0,0.0,-1.648456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.593054,2.593054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.593054,0.0,0.0,0.0,1.591675,0.0,3.307848,0.0,0.0,0.0,-1.700896,0.0,0.0,0.0,1.700896,0.0,0.0
MCP4,-0.33877,1.285477,0.252045,-0.64243,-0.511008,0.217519,0.361558,-0.177433,-0.007887,-0.333257,-0.585674,0.367093,-0.077544,-0.914207,0.479228,0.102251,0.200295,-0.690286,0.015643,0.447908,0.111076,0.106135,-0.062015,-0.090298,-0.124648,0.347079,-0.047647,-0.005385,-0.271604,-0.162749,0.018951,-0.030483,0.180558,0.00144,0.168654,-0.358972,0.264068,-0.706413,-0.055631,0.328413,-0.530323,0.179238,-0.313573,-0.314701,0.682606,-0.178498,0.291367,-0.031488,-0.574494,-0.253237,-0.143866,-0.122432,0.920164,-0.348657,-0.26181,-0.784325,-1.356995,-0.248542,-0.797337,0.434062,0.14632,0.655786,-0.447325,-0.389814,-0.575286,-0.424995,-0.266427,0.053117,0.01508,-0.196834,0.329126,0.458329,-0.20656,0.367012,-0.128682,-0.005968,-0.351648,-0.031558,0.087892,-0.256537,-0.344716,0.132563,-0.066335,-0.333565,0.157314,0.23821,0.46279,-0.501511,-0.116043,-0.425662,0.15976,0.057757,0.264785,0.208743,0.211399,0.644746,0.422826,-0.584146,-0.074723,0.078973,0.052957,0.128057,-0.072924,-0.196766,0.031916,-0.035364,0.267475,0.131809,-0.560933,0.322075,0.089848,0.259676,0.237243,0.209561
TRAIL,0.0,1.154961,-0.219562,-0.486889,-0.112186,1.395872,-0.098408,0.652896,0.731914,-0.076754,-0.578395,1.0,0.748122,-1.304321,0.0,-0.121186,-0.142756,0.157822,0.601244,0.080061,1.398466,0.155339,0.273967,-0.1152,0.582605,0.188975,0.463935,-0.201209,0.225292,0.119729,0.66524,0.222049,0.778382,-0.319047,0.704337,-0.568846,-0.508442,0.056163,0.682069,-0.11981,0.111493,0.710627,0.0,1.171299,0.290493,0.140965,-0.435688,0.326666,0.266644,-0.270291,-0.789371,0.902209,0.204017,0.34098,0.580961,0.948649,-0.334609,-0.588468,0.440551,0.606771,-0.12025,1.525287,0.0,-0.552852,0.0,0.798332,0.169211,-0.130787,0.783072,-0.158551,0.343897,0.544214,0.616931,0.764375,0.323112,0.061228,0.892147,0.326852,0.261208,0.178719,0.537124,0.526326,0.706335,0.111939,-0.460855,-0.175108,-0.123769,0.394438,-0.110093,0.843525,0.066699,-0.274384,-0.73639,0.288901,0.267952,0.060853,0.342955,-0.195174,-0.63749,0.375614,0.481037,-0.313709,0.176557,-0.303572,0.278777,-1.085224,-1.277879,0.145021,0.0,0.0,0.448387,0.0,0.479963,-0.133756
